osm_id,name,advertising,lat,lon,geom_source
12778549994,(ohne Name),column,49.4742303,11.0960823,point
12824392754,(ohne Name),totem,49.4975549,11.2631727,point
12824392755,(ohne Name),totem,49.4975767,11.2631614,point
12824392756,(ohne Name),totem,49.4975951,11.2631668,point
12825962826,(ohne Name),yes,49.5010205,11.2745644,point
12825962833,(ohne Name),yes,49.5009031,11.274825,point
12844388881,(ohne Name),column,49.4202436,11.0369018,point
12847575791,(ohne Name),column,49.3965938,11.1424589,point
12847575792,(ohne Name),column,49.3967899,11.1428148,point
12848904452,(ohne Name),column,49.4399258,11.0960224,point
12896340446,(ohne Name),column,49.451706,11.137751,point
12897285968,(ohne Name),column,49.4548277,11.0755466,point
12897288653,(ohne Name),column,49.450155,11.0737289,point
12897291829,(ohne Name),column,49.455901,11.0761133,point
12989722606,(ohne Name),column,49.4756135,11.0710768,point
13021364725,(ohne Name),poster_box,49.4504815,11.1382693,point
13021634688,(ohne Name),NA,49.4531091,11.021368,point
13021634689,(ohne Name),NA,49.4531364,11.0211744,point
13021634690,(ohne Name),billboard,49.4535103,11.0201083,point
13021634698,(ohne Name),billboard,49.4534959,11.0202784,point
13021683502,(ohne Name),billboard,49.4533688,11.0201378,point
13027966814,(ohne Name),poster_box,49.407594,11.1362747,point
13052446160,(ohne Name),billboard,49.3827451,11.0379233,point
13052455912,(ohne Name),billboard,49.382721600000004,11.0381125,point
13061478728,(ohne Name),poster_box,49.4210166,11.032411,point
13092905393,(ohne Name),NA,49.4106084,11.1653998,point
13092905394,(ohne Name),NA,49.4106031,11.1653968,point
13092905395,(ohne Name),NA,49.4105979,11.1654005,point
13092905396,(ohne Name),NA,49.410596,11.1654087,point
13092905397,(ohne Name),NA,49.4105984,11.1654166,point
13092905398,(ohne Name),NA,49.4106038,11.1654196,point
13092905399,(ohne Name),NA,49.4106089,11.1654159,point
13092905400,(ohne Name),NA,49.4106108,11.1654077,point
13093029869,(ohne Name),billboard,49.4767152,11.1211364,point
13093029870,(ohne Name),NA,49.474649,11.1197501,point
13093029871,(ohne Name),NA,49.4746574,11.1198347,point
13105502607,(ohne Name),billboard,49.3822513,11.2039211,point
13112583328,(ohne Name),billboard,49.4077356,11.0352273,point
13112588088,(ohne Name),billboard,49.417417,11.036223,point
13112602523,(ohne Name),billboard,49.4040772,11.0351485,point
